Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2000-01-01,2000-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,Index,34.216680,X,base year is 2015
ZAF,2001-01-01,2001-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,Index,35.913380,X,base year is 2015
ZAF,2002-01-01,2002-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,Index,40.331850,X,base year is 2015
ZAF,2003-01-01,2003-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,Index,47.344950,X,base year is 2015
ZAF,2004-01-01,2004-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,Index,47.968770,X,base year is 2015
ZAF,2005-01-01,2005-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,Index,48.566330,X,base year is 2015
ZAF,2006-01-01,2006-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,Index,50.299900,X,base year is 2015
ZAF,2007-01-01,2007-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,Index,54.180740,X,base year is 2015
ZAF,2008-01-01,2008-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,Index,61.331730,X,base year is 2015
ZAF,2009-01-01,2009-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,Index,71.121770,X,base year is 2015
ZAF,2010-01-01,2010-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,Index,72.561490,X,base year is 2015
ZAF,2011-01-01,2011-01-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,Index,75.009000,X,base year is 2015
